name,date (JD),x (AU),y (AU),z (AU),vx (AU/yr),vy (AU/yr),vz (AU/yr),mass (M_sun),radius (AU)
Uranus,2459215.5,15.35003070881931,12.46159938214345,-0.1525766059818771,-0.9139314695228014,1.050056451655068,0.015675359966070054,4.364504776269483e-05,0.0001695187165775401
Uranus,2459580.5,14.39762063208569,13.47871561888364,-0.1365125041909808,-0.9914722106711201,0.9844515115633807,0.01644664676741673,4.364504776269483e-05,0.0001695187165775401
Uranus,2459945.5,13.36973849928487,14.4270620301166,-0.1197170021192079,-1.0648433869236884,0.9124533853290642,0.01715223407409973,4.364504776269483e-05,0.0001695187165775401
Uranus,2460310.5,12.27098634469153,15.30029134273843,-0.1022649933744543,-1.1331856635296116,0.8341719604019979,0.01776809785359183,4.364504776269483e-05,0.0001695187165775401
Uranus,2460676.5,11.10362881512566,16.09448391218202,-0.0841983325852499,-1.1957292392289978,0.7500512221290913,0.0182938715159695,4.364504776269483e-05,0.0001695187165775401
Neptune,2451544.5,16.81075772645342,-24.99265127854981,0.1272705717411974,0.9420589516841174,0.6488137292440083,-0.03513706569521184,5.1483157365510307e-05,0.00016457219251336897
Neptune,2451910.5,17.74183257864791,-24.32493228071159,0.09210033012160501,0.9159098279010002,0.6834996017839835,-0.035038543805847956,5.1483157365510307e-05,0.00016457219251336897
Neptune,2452275.5,18.64408522230545,-23.62526241809287,0.05691472573235754,0.8894972299039423,0.7167706102878965,-0.03510779423483078,5.1483157365510307e-05,0.00016457219251336897
Neptune,2452640.5,19.51954955480084,-22.89285805999628,0.02165064845074371,0.8624773754436036,0.7491667743468743,-0.035207018600037394,5.1483157365510307e-05,0.00016457219251336897
Neptune,2453005.5,20.36756851157362,-22.12841201754562,-0.01365741748312754,0.8347033345634122,0.7809652541156777,-0.03531951220395939,5.1483157365510307e-05,0.00016457219251336897
Neptune,2453371.5,21.18944135350513,-21.33023011020985,-0.04906567593946363,0.8056753768686019,0.8120692151642622,-0.03547162726260856,5.1483157365510307e-05,0.00016457219251336897
Neptune,2453736.5,21.97955208473265,-20.50318330504666,-0.08433414002829905,0.775382098281786,0.8427743606092922,-0.03536446465862596,5.1483157365510307e-05,0.00016457219251336897
Neptune,2454101.5,22.73882369789326,-19.64574568670799,-0.1195072635805211,0.7437143146084035,0.8728777859400165,-0.03515577842457819,5.1483157365510307e-05,0.00016457219251336897
Neptune,2454466.5,23.46569738763562,-18.75867180836368,-0.1545263670680132,0.7104161947753028,0.9021094842908001,-0.034873173678616955,5.1483157365510307e-05,0.00016457219251336897
Neptune,2454832.5,24.16032431118875,-17.84046454875994,-0.1894233506493996,0.6755075167842574,0.9303858821649796,-0.034579699565975175,5.1483157365510307e-05,0.00016457219251336897
Neptune,2455197.5,24.81715268280607,-16.89757837537791,-0.2239411625681938,0.6389246370161173,0.9566625080777496,-0.034349827969903275,5.1483157365510307e-05,0.00016457219251336897
Neptune,2455562.5,25.43658070726283,-15.92941046383292,-0.2581104380767945,0.6008651984488481,0.9808037533042371,-0.03406761234554763,5.1483157365510307e-05,0.00016457219251336897
Neptune,2455927.5,26.01751412250581,-14.93815177308761,-0.2918746246742815,0.5619533153266227,1.0027200862556929,-0.033704945192373686,5.1483157365510307e-05,0.00016457219251336897
Neptune,2456293.5,26.56083823075845,-13.92317250240091,-0.3252790480583069,0.5224307168423833,1.0225899490490433,-0.033130540806918136,5.1483157365510307e-05,0.00016457219251336897
Neptune,2456658.5,27.06345123175177,-12.89185888726121,-0.358105280448526,0.48314286770120035,1.0409788471078012,-0.032527647778770395,5.1483157365510307e-05,0.00016457219251336897
Neptune,2457023.5,27.52684871515191,-11.84290615363071,-0.3904137077532541,0.4439114316606549,1.0581608661140272,-0.0319250441907742,5.1483157365510307e-05,0.00016457219251336897
Neptune,2457388.5,27.95085105563214,-10.77742543039239,-0.4221697214300262,0.4044215189519444,1.0742469951088316,-0.031345038010376476,5.1483157365510307e-05,0.00016457219251336897
Neptune,2457754.5,28.33608502431575,-9.693419286361477,-0.4534198239227615,0.3644322256474537,1.08934234144013,-0.030937535975946884,5.1483157365510307e-05,0.00016457219251336897
Neptune,2458119.5,28.67982724708239,-8.597789587470947,-0.483948836288005,0.32365901252774,1.1032990005126986,-0.030351701468384264,5.1483157365510307e-05,0.00016457219251336897
Neptune,2458484.5,28.98239297689988,-7.488635207611613,-0.513793430014454,0.2818726072820123,1.1161491313483587,-0.02965012352549177,5.1483157365510307e-05,0.00016457219251336897
Neptune,2458849.5,29.24281358756603,-6.367188613694623,-0.5428996901445959,0.23906572471231594,1.1277555478331993,-0.028828245860972317,5.1483157365510307e-05,0.00016457219251336897
Neptune,2459215.5,29.4605258582374,-5.23182464795437,-0.5712847929298472,0.19505970565782038,1.1378743471376136,-0.0277749423829956,5.1483157365510307e-05,0.00016457219251336897
Neptune,2459580.5,29.63326739603472,-4.090629067373305,-0.5987343143371974,0.1502874388270182,1.1458137422173176,-0.02687242156238729,5.1483157365510307e-05,0.00016457219251336897
Neptune,2459945.5,29.76086241220543,-2.942812938582273,-0.6252708228842427,0.10498179532456059,1.1512466973481028,-0.02598732888380468,5.1483157365510307e-05,0.00016457219251336897
Neptune,2460310.5,29.84298122874072,-1.79090523696504,-0.6508479610873645,0.05959634290400229,1.1540085070932111,-0.025104077522623176,5.1483157365510307e-05,0.00016457219251336897
Neptune,2460676.5,29.87992735576156,-0.6341879950443392,-0.6754997950415415,0.014396676650921451,1.1543323655849558,-0.024241629980791553,5.1483157365510307e-05,0.00016457219251336897
