frame,pos_x,pos_y,pos_z,size_x,size_y,size_z,center_of_mass_x,center_of_mass_y,mass,center_of_mass_z
2,75,0,75,25,25,25,75.7823,8.14871,87.1855,2
2,50,25,75,25,25,25,61.6662,30.5469,81.5425,3
2,75,25,75,25,25,25,0,0,0,0
2,0,50,50,25,25,25,0,0,0,0
2,25,50,50,25,25,25,0,0,0,0
2,0,75,50,25,25,25,0,0,0,0
2,0,50,75,25,25,25,23.6672,58.091,82.2278,2
2,25,75,50,25,25,25,32.229,99.039,53.9744,3
2,25,50,75,25,25,25,0,0,0,0
2,0,75,75,25,25,25,24.0871,89.9197,98.2266,2
2,25,75,75,25,25,25,30.3571,80.9246,95.6376,1
2,50,50,50,25,25,25,60.0256,54.5932,50.3193,1
2,75,50,50,25,25,25,96.4502,69.7483,61.5803,3
2,50,75,50,25,25,25,0,0,0,0
2,50,50,75,25,25,25,0,0,0,0
2,75,75,50,25,25,25,78.8426,99.3539,51.843,2
2,75,50,75,25,25,25,0,0,0,0
2,50,75,75,25,25,25,61.4418,92.1544,88.8888,2
2,75,75,75,25,25,25,76.6472,86.2521,83.1561,3
2,0,0,0,12.5,12.5,12.5,4.71644,9.95887,11.3933,1
2,12.5,0,0,12.5,12.5,12.5,12.6718,1.45469,5.88075,5
2,0,12.5,0,12.5,12.5,12.5,0,0,0,0
2,0,0,12.5,12.5,12.5,12.5,0,0,0,0
2,12.5,12.5,0,12.5,12.5,12.5,0,0,0,0
2,12.5,0,12.5,12.5,12.5,12.5,0,0,0,0
2,0,12.5,12.5,12.5,12.5,12.5,0,0,0,0
2,12.5,12.5,12.5,12.5,12.5,12.5,0,0,0,0
2,25,0,0,12.5,12.5,12.5,0,0,0,0
2,37.5,0,0,12.5,12.5,12.5,0,0,0,0
2,25,12.5,0,12.5,12.5,12.5,27.8065,18.4117,3.83526,2
2,25,0,12.5,12.5,12.5,12.5,0,0,0,0
2,37.5,12.5,0,12.5,12.5,12.5,0,0,0,0
2,37.5,0,12.5,12.5,12.5,12.5,39.1174,4.13165,20.9695,4
2,25,12.5,12.5,12.5,12.5,12.5,0,0,0,0
2,37.5,12.5,12.5,12.5,12.5,12.5,0,0,0,0
2,25,0,25,12.5,12.5,12.5,0,0,0,0
2,37.5,0,25,12.5,12.5,12.5,45.2528,6.76235,35.8507,4
2,25,12.5,25,12.5,12.5,12.5,0,0,0,0
2,25,0,37.5,12.5,12.5,12.5,0,0,0,0
2,37.5,12.5,25,12.5,12.5,12.5,0,0,0,0
2,37.5,0,37.5,12.5,12.5,12.5,0,0,0,0
2,25,12.5,37.5,12.5,12.5,12.5,0,0,0,0
2,37.5,12.5,37.5,12.5,12.5,12.5,0,0,0,0
2,50,25,0,12.5,12.5,12.5,0,0,0,0
2,62.5,25,0,12.5,12.5,12.5,66.8568,27.3806,8.83796,1
2,50,37.5,0,12.5,12.5,12.5,0,0,0,0
2,50,25,12.5,12.5,12.5,12.5,0,0,0,0
2,62.5,37.5,0,12.5,12.5,12.5,0,0,0,0
2,62.5,25,12.5,12.5,12.5,12.5,0,0,0,0
2,50,37.5,12.5,12.5,12.5,12.5,0,0,0,0
2,62.5,37.5,12.5,12.5,12.5,12.5,70.1727,42.7707,24.1558,1
2,0,50,0,12.5,12.5,12.5,0,0,0,0
2,12.5,50,0,12.5,12.5,12.5,0,0,0,0
2,0,62.5,0,12.5,12.5,12.5,0,0,0,0
2,0,50,12.5,12.5,12.5,12.5,0,0,0,0
2,12.5,62.5,0,12.5,12.5,12.5,0,0,0,0
2,12.5,50,12.5,12.5,12.5,12.5,0,0,0,0
2,0,62.5,12.5,12.5,12.5,12.5,4.46003,66.7349,20.7202,5
2,12.5,62.5,12.5,12.5,12.5,12.5,13.4713,69.7674,14.6092,4
2,0,75,0,12.5,12.5,12.5,0,0,0,0
